<Apps_for_Android> games:2537037.1055596066 play:2247113.8091989527 graphics:1713265.4482352666 kindle:1623429.5418573343 addicting:1242808.2184094565 addictive:1035936.0441975455 challenging:992713.5393625504 coins:955141.6796828125 fire:873237.7713834605 playing:858860.1408184121 puzzles:685415.5497323661 apps:581592.8839890066 levels:524737.622313832 free:501001.8215785628 download:468874.6800539256 downloaded:401933.9544030182 ads:391326.5745358066 bingo:326777.76631461567 gameplay:292273.0536111694 flappy:278066.6912266814 uninstalled:268092.42706600856 facebook:244862.80021059277 mahjong:224833.17233451147 solitaire:208979.84293331063 puzzle:202466.74910689172 played:195723.39605319453 faotd:192946.7262648941 waster:191535.25318696845 deleted:177813.00791739573 bought:177044.8173788922 android:167433.61883271966 minecraft:151811.8194789197 permissions:150550.7209693925 quality:149208.72102671652 earn:147636.80115761294 glitches:146220.33418564338 price:143873.8683988131 delete:140480.6471802512 author:135121.91241344364 made:132578.25762193964 challenge:132521.76962298492 reading:132386.71021292108 addicted:131976.0231207244 years:129977.92898929075 fit:125061.10957800949 freezes:124941.4586535026 uninstall:115769.58405758196 unlock:115529.32588741611 characters:111292.51438930584 series:110420.01766034267 downloading:109572.87892484874 written:106710.57017273715 multiplayer:103978.08541571358 hints:94662.74686020764 size:91927.6947299047 brain:89846.10041286577 crashes:88833.95878391957 logos:88734.40983712598 bored:88520.25533082538 appstore:87729.0946736935 awesome:87075.03679771745 end:86583.0451994538 sims:86515.18481260676 developer:86228.95821650756 put:86093.68057804253 small:85847.10894635135 back:85710.11366624034 perfect:83950.90798345541 feel:83251.68008725575 light:82042.83124571238 apos:78491.83203174137 temple:73684.35919716455 tetris:73628.03791745928 ordered:73215.71052739459 gameloft:71976.95882595587
<Automotive> honda:899891.5905856183 vehicle:849301.5181586304 jeep:790102.3744750208 oem:755344.2652495027 toyota:715339.0391577244 installed:635971.7882148564 engine:597462.8347607645 headlights:510657.37722231733 wiper:461613.7310497448 dealer:436119.2330783543 dealership:402704.2670425338 tire:360453.09692170756 fit:356697.26399041055 chevy:355170.134108608 brake:353076.8970126744 installation:340952.23924082326 ford:329939.4835894106 tires:328746.77496717515 headlight:324946.1916854719 wipers:319042.85737734137 bmw:301157.7093261073 rear:301095.8595658212 nissan:297601.3213837928 windshield:296184.0011955926 mats:287368.25867771416 hitch:270319.14880240045 mpg:267696.71284897317 dodge:266542.1675048314 factory:258812.1022316394 vehicles:251335.84518967362 silverado:249077.3260025948 mechanic:248847.512544539 lights:239934.15527025049 exhaust:237077.93348733094 passenger:235748.46209777033 bolts:222091.47324161383 steering:219603.9391867669 muffler:211049.1407851043 motorcycle:208974.04344929956 bumper:206088.5957952599 cars:199794.93799682017 rotors:199640.05709717085 filter:197924.0175390062 helmet:195749.4425685066 mazda:194960.5633462057 trailer:193587.7027366049 gmc:192902.6918246265 subaru:191723.09664840417 wrangler:188869.78627870095 tailgate:184867.12830051838 camry:183925.86280038653 fuel:181699.42155990997 wheel:167741.0954336636 autozone:164132.76434874086 bolt:163948.43879020627 civic:162273.95414104982 decal:157593.25481231938 tacoma:156741.15430699807 dorman:154908.4250116205 vw:151956.20447865105 weathertech:148025.6036815017 corolla:146642.2849141567 auto:143855.05352662114 radiator:142288.8642698143 stock:138958.3766303868 obd:135003.66802355263 wiring:130797.9514448017 sticker:129467.04943577723 kit:129263.72327310836 towing:127195.14682228924 delco:124619.30878656748 struts:123710.63989057796 gasket:122620.06844979657 inverter:120563.56933112287 rv:119622.29469200321
<Baby> crib:2667936.3955811774 diaper:2492661.108469597 diapers:1274764.9284099184 seat:1200896.75138245 graco:989622.5627892083 infant:940272.3511709331 carseat:894780.6349051031 sippy:837571.8942197118 britax:823530.9466171768 newborn:815352.4970410753 medela:754043.8497147588 babies:742670.1466057723 nipple:679658.8747835576 strollers:658870.7775660594 avent:641923.636751141 bassinet:604830.9051853404 nipples:582201.7664313511 teething:580376.4742024783 toddler:561002.1627265053 pacifier:554832.9525829463 son:510071.77820118633 pacifiers:473680.79445882887 bottles:468078.0619643943 swaddle:458391.68736984784 teether:445377.49684057443 daughter:424089.64438958984 nursery:403663.2176358113 gate:389895.3662646935 seats:387514.4150187705 recline:366439.5244277615 potty:363338.8533603404 blanket:360589.3831180174 toys:350896.3172208205 chicco:338402.0611323142 month:334549.4289800003 months:322878.63255689765 highchair:311735.785015876 booster:291804.3496693993 bib:279423.80284130457 chair:279181.8283833211 boppy:257993.22017383968 blankets:252045.8482164755 bjorn:247854.41240740602 wipes:244683.01653961858 evenflo:242209.91419639764 swaddling:238400.97094817559 loves:235769.51554519124 breast:222465.16835115867 playtex:220618.988071215 soft:216373.88957787433 child:211046.53587935242 diapering:200891.67393965813 nuk:200157.0002331914 bouncer:199017.38336151597 mattress:195426.6947145065 swaddled:187684.62131935524 prefolds:184303.9987458153 wash:183781.90457137604 carrier:183683.09877520305 teethers:173760.1134707009 burp:167968.68049264853 tub:167559.27123326052 breastfeeding:159321.9469282244 tray:159090.84234837038 cute:156977.4490373873 thirsties:155404.39522442507 cribs:155254.59390302276 latch:152949.90076739623 straps:151685.3690419198 reclines:151271.67043954477 milk:150512.53953160628 sleep:149742.864195605 paci:148522.93107513982 pail:148346.65070203034 feeding:145914.66761430097
<Beauty> scent:2505495.6845678305 shampoo:2470819.336101796 lotion:2216207.2752425265 smells:2102912.921574274 conditioner:1836080.074840734 smell:1687045.3005304094 fragrance:1672830.5269964472 moisturizer:1552949.4510112233 greasy:1485301.2886135057 perfume:1461724.093932104 oily:1401379.807840068 makeup:1363767.424201255 dry:1288295.7774313 acne:1268801.1763788797 curly:1105315.3428996964 scalp:1008692.5398784317 cream:909831.6420180101 salon:851523.75062505 mascara:843802.7319994855 curls:799127.1700325888 products:787354.8936735546 brush:779472.4935292997 moisturizing:774593.1781500571 bottle:757981.2960150847 cologne:736128.577890306 frizzy:723963.4644316217 lashes:718491.0392082698 cleanser:717300.9098367372 nail:708955.6679473427 serum:686491.573135558 frizz:679234.6154403855 nails:642905.9201697488 polish:637716.5283950682 pores:610978.7606582115 sunscreen:592058.8653895049 face:569787.6085593031 brushes:523096.6824930802 tanning:503835.04132764344 soap:493001.3967725694 spf:459247.3556526344 lotions:456884.3444795825 oil:448821.6349970829 wavy:446605.31787191523 moisturized:443322.6617507213 shampoos:436119.7040121284 drying:430902.0150830796 breakouts:419785.22748512705 natural:419140.00851846335 straightener:390272.3932426187 silky:387265.4826310932 soft:385009.7295851017 concealer:381236.37855881586 comb:376460.15108279727 gel:360064.7309153485 dryer:358895.2079405575 apply:358176.85712224536 creams:355108.6076566219 curl:350055.03947026096 curling:349031.38739665766 dries:346980.1294749178 wash:336390.75214119826 eyeliner:328364.0891366684 dermatologist:322824.83052169724 spray:320828.69411597296 facial:317191.864992546 opi:313098.9138753522 shiny:312257.5988379108 argan:300874.7696187194 scents:293439.33877691865 olay:289400.0635811622 color:289318.7133498786 eyeshadow:289052.39037268603 sensitive:287696.3428217469 shower:286970.97612721694 smooth:286271.25777598575
<Book> author:6326826.490898571 reading:6206104.023469814 characters:4677207.476059572 written:4181523.6890388792 reader:2776905.307544489 series:2710623.668502537 writing:2452095.914197624 interesting:2381979.0178994946 stories:2187356.7604293344 world:2111926.4352281154 pages:2080150.7458072389 enjoyed:2053247.378352782 character:1889458.7198042988 history:1864811.7114695685 information:1755622.9986743466 page:1738118.5510455843 readers:1612977.5258189891 chapter:1522686.2182470344 plot:1431264.4986688418 price:1294861.1405210223 authors:1291582.056872422 people:1264599.6430684454 quality:1209839.9012783426 understand:1162831.3562531434 romance:1143852.7511150474 chapters:1119490.7238521683 lives:1103705.9034423092 fiction:1089475.7826131538 writer:1059360.213783654 learn:1049291.3212635373 end:1038612.0711378508 novels:1037646.6883656814 mystery:1001237.4646020189 fit:986281.4166796568 ending:971008.3213757131 loved:927667.0922101121 historical:922054.8256887323 relationship:912113.3701701155 god:903591.2040962867 understanding:903114.1652818471 man:900322.1637478274 interested:892990.3373646686 ideas:883863.8913194193 family:881152.3851998664 human:854265.0000682315 bought:851943.6213077834 subject:844075.0059389778 young:842569.2282431024 war:826590.0718113304 size:812647.0520278529 interest:772926.1571132588 writes:752452.7757286946 guide:736236.0750538069 tale:735533.3446194887 works:726230.7263024764 knowledge:725474.5436810261 children:725460.9712391592 woman:718544.5543548199 journey:714183.9360534952 events:709812.8586311083 fascinating:708820.4647185247 wait:708560.4996171289 heart:702255.4502151627 text:699898.4836844814 finished:692542.9185219464 insight:689693.3067342124 published:689160.587087294 things:679682.1290880097 examples:677054.9578556268 beginning:674296.4302585444 forward:673988.7047071237 sense:663383.3284627717 found:663224.1078302336 questions:663215.1377493287 personal:657481.8523754497
<CDs_and_Vinyl> music:13157686.53915181 albums:7261002.421758307 tracks:6142853.873386127 listen:5520849.433677122 lyrics:5269633.779379429 band:4972240.084542887 rock:4314414.325244548 vocals:4107893.9361808957 track:3647365.6876323726 listening:3441267.8549476657 heard:3262719.5830106107 recording:3063421.559722107 voice:2971410.6166104907 sound:2740244.2188855675 musical:2470999.7210808755 singing:2348940.415569235 quot:2215094.5352330636 sounds:2193442.8737239847 recordings:2179367.3423567326 recorded:2166537.2576605245 record:2032272.5590506503 singer:2019828.5363595842 vocal:1951824.7470312584 tunes:1912413.0872229477 jazz:1899423.5297940308 bands:1891763.7924239757 solo:1872866.2655040943 hear:1840733.5390410463 disc:1822670.958069069 cds:1741097.652809201 sing:1637756.9234375348 listened:1617116.8594558218 catchy:1601535.6892923934 blues:1546441.210387613 pop:1511012.741503295 concert:1490373.3499883115 release:1466086.9937882973 musicians:1430922.814753349 piano:1418385.6752565515 melodies:1352990.514695761 melodic:1313842.532905359 fan:1296926.8318869802 artists:1296681.1605872978 hits:1252388.24664615 released:1234889.8933402314 fans:1230675.276566664 orchestra:1206249.639626268 drums:1203158.889617521 collection:1198856.7606428082 sings:1141809.9975686737 ballad:1140212.012628927 instrumental:1097721.8570986488 singers:1091072.1652983972 listener:1083434.0567963244 records:1066835.4044746647 soundtrack:1062162.38436651 ballads:1038266.7895272976 chorus:1024212.844220496 lp:1011449.6749369003 riffs:1009719.9857717558 dance:997544.6908273529 artist:984192.1159787546 acoustic:955397.0342600701 melody:948977.7280338011 punk:925793.9792811958 guitars:917089.0927830515 production:902909.2754889715 arrangements:896478.6900915416 musically:869751.970045901 live:864546.233060828 classic:860469.773770648 songwriting:840566.6802999405 bass:829582.499207741 sung:823182.5215730048 studio:817239.7860675089
<Cell_Phones_and_Accessorie> iphone:4478166.27538325 screen:2210550.9146882296 protector:2031946.2642602043 charger:1737448.623131473 galaxy:1385496.3688603751 otterbox:1335937.8053415306 charge:1279298.266351461 phones:1100108.3708803342 protection:1085014.3110777219 battery:1013109.3483096986 samsung:959285.9446125338 charging:954538.1284364922 cases:923982.322999157 dropped:878567.1799073394 protects:824654.612786868 htc:809200.001709448 protectors:784761.1743675383 fits:760652.9618346749 bluetooth:591852.6172761592 cell:588250.9679856192 headset:580058.5962735779 verizon:565499.0949030458 otter:543873.2478678165 bubbles:483507.8341912858 bulky:463680.7815322237 buttons:460886.94509413035 motorola:460589.9389636843 stylus:452177.35321336664 droid:446343.42808348214 cover:430612.2923107582 protect:424897.1675108653 nokia:396266.73443063354 charges:386619.7201499572 pocket:386556.4835999581 blackberry:372028.9170877331 kickstand:368603.0204125837 rubber:360176.80391498585 protected:340637.2837982663 protective:339059.9870572211 lg:331243.76626262354 chargers:325550.636789804 holster:311725.7169431184 clip:291773.12066445575 sim:290714.8092036735 fit:287264.1103640144 defender:271542.6275864312 scratches:270085.14354627236 charged:259648.051040765 nexus:259551.10490576693 drop:245714.34948551105 usb:241751.86802660057 rubberized:232672.59958908273 razr:229905.98258166487 slim:228297.92435456385 tpu:218007.12602319138 sprint:215165.9457121758 perfectly:215110.20688272628 silicone:212668.24188660196 plastic:209060.96876711628 smartphone:203217.40132129227 ear:203030.91024168435 gs:201347.17049420817 reading:199829.12669626717 evo:198631.13497560253 characters:198539.83309910374 device:198407.57340560947 button:198039.30613505578 spigen:186337.7239011267 mobile:185680.61327848438 broke:184279.0106389797 author:182515.50825750906 port:181124.70782996767 iphones:175471.38761119833 bulk:175008.86568126304 edges:166575.30823196418
<Clothing_Shoes_and_Jewelry> comfortable:4461890.097232596 shoe:4216298.273358878 size:3537183.431421239 fit:2789245.3670855328 pair:2440774.867316833 boots:2267104.4136298257 wearing:1860317.9237658216 shirt:1829290.2641237888 dress:1654765.899014956 jeans:1198738.1347322615 feet:1176860.9299770289 earrings:1172819.6450134055 worn:1169084.6203087694 heel:1065372.3301027112 wore:1035598.9793532559 socks:980434.9718041319 bra:906315.0063607291 sandals:896017.715357143 necklace:869353.3192097356 compliments:864167.639318377 costume:848951.9737243964 comfy:829996.7895126954 pants:796244.2604755149 bracelet:778783.3995292146 sizing:769222.1811671832 color:757907.762327525 leather:755712.0302314396 cute:747279.9198683094 toe:697499.0352870687 fabric:684772.1595508987 ordered:662068.3080905004 foot:643527.4126196504 wears:590761.4326533127 jewelry:566964.0951838163 fits:558118.5166917209 watches:546883.6779091033 sole:541411.1568592186 watch:535492.721481563 boot:531338.0284768583 pairs:518510.21159306256 waist:496176.62885022745 shirts:496126.99388215505 slippers:493077.8726752774 ring:482617.79365517676 warm:464108.1375102187 sandal:445881.837397491 soles:427423.2747774966 stylish:421042.3259324172 pendant:403729.53068471426 arch:364058.46676171874 narrow:354762.20568955946 tight:351299.2440889077 outfit:351054.76952434424 leggings:351050.2514885878 material:345988.19057885004 sizes:345607.47812559374 colors:345192.4763601925 nice:344821.24452088476 reading:344208.49538738054 jacket:339649.9556302797 characters:339140.0995129939 ankle:332483.65180401783 wrist:328197.21473895584 quality:326121.28216535895 hat:320939.44568230666 sneakers:314646.3765630691 author:313897.6607014667 wallet:309620.6573096814 walking:309222.03952868853 flattering:302731.47654846555 bras:301758.17762209126 dressy:298714.3673195173 soft:295934.9821222594 casual:289385.0792682443 medium:288327.18436298263
<Digital_Music> music:1513702.677062469 lyrics:1118117.049223283 listen:900117.5966897155 albums:524249.23980300897 heard:518506.72466311214 voice:476037.247222015 listening:400755.8970804514 tracks:398691.66935940075 vocals:381551.2476330004 track:376969.72853193444 catchy:369768.4571313852 rock:309135.6724203644 band:302609.1845321905 rap:286144.7127351344 sing:280747.2747470751 singer:242609.49340288705 artist:234277.46244944562 singing:223033.17578842773 tune:221627.3996739681 hear:194639.46864833485 dance:190042.4911978427 sounds:186077.97985900418 listened:173780.94550133857 melody:169713.73717049498 sound:167168.79266923136 eminem:161829.0928618041 upbeat:159321.19143402096 hop:155332.59493447613 pop:143363.5059231956 sings:140930.381086791 beats:136301.92848750457 radio:130906.50125448675 vocal:122350.89030701829 classic:120960.68469726149 record:120767.7940933934 musical:118252.91675962231 artists:117724.30698537463 mp:117119.562517912 soulful:115229.24651520538 beat:108493.71147909043 rapper:108197.88705198647 tunes:107781.4801422464 hip:106876.01223752237 playlist:105541.51035248222 download:105006.83312255178 chorus:102691.63473170946 jazz:100925.05954828343 rappers:100813.75713842096 favorite:93197.85452741399 hits:90133.64091706784 melodies:89878.98418149678 soul:88319.60991853448 piano:88265.07376993384 remix:86985.33905228837 ballad:86408.7099906318 funk:85137.78824175558 blues:84788.9573599746 bands:84599.80848650259 sung:82303.19968911073 talent:81783.37577848826 solo:81722.44291436546 recording:80504.67399896987 instrumental:80137.91522371156 debut:79410.46944171902 ep:76980.92851828437 love:73942.4367612708 fan:73780.8542272245 songwriter:71991.21345784 mellow:70603.71006365518 rendition:70119.5642563254 singles:69911.49805433363 version:69030.24060161857 quot:68749.0200245169 hearing:66633.74688651305 lyrically:66492.67547907968
<Electronic> cable:3153958.0303808837 usb:2583656.531203825 computer:2488720.1142099216 ipad:1763846.8475109069 screen:1661794.5142092053 speakers:1622171.513289643 works:1589426.68661866 keyboard:1583634.154410675 battery:1574153.413999378 gb:1562458.886575113 sound:1551958.7443931124 headphones:1524923.0475776058 hdmi:1472656.1725901219 tv:1467469.60535402 sony:1429597.493486688 ipod:1418341.3920834386 device:1407711.2655941236 wireless:1368544.8959201379 adapter:1367856.102668484 tablet:1335555.8094728321 drive:1225407.9169404232 plug:1209633.6860392347 card:1153472.3899805069 cables:1146256.4135479387 pc:1120474.7044602232 software:1105843.7359141887 lens:1087916.524163021 windows:1057384.0074988727 hd:1051629.2846240015 router:1020290.6481950277 unit:990866.65880122 remote:983998.7047522559 price:968918.3304104247 mouse:901025.7047822186 port:875107.2509426464 plugged:861195.0838551129 signal:849799.8484088823 macbook:811942.1175606248 cord:810883.6448776496 player:801151.6020904699 quality:796514.7595669689 canon:782974.7366227871 setup:781591.2903794529 speaker:779002.597758573 cameras:753309.9003108608 sd:723805.7150464787 video:704779.6087791817 audio:700183.0166278896 mp:682633.704151357 receiver:677336.1726649811 external:675780.7777598056 apple:665045.8225823172 nikon:661901.5408250847 devices:656166.0057080225 charger:651527.3639163888 lcd:648288.6966217493 antenna:628712.9344145111 desktop:624418.3023075298 logitech:613072.0703552025 charge:611489.4789540194 dell:609942.2830180783 ports:592125.5487944278 flash:590026.9056677237 connect:588579.9356322065 worked:581561.4982622563 monitor:565000.0359922752 zoom:562666.5181493608 power:553590.0627914808 samsung:552738.0879617004 gps:551173.0806794262 mac:551137.1187625156 bluetooth:550662.0725789828 system:546147.1257413923 asus:545590.634663265 files:538927.1025193911
<Grocery_and_Gourmet_Food> tea:2079542.7985454516 tastes:1860009.798726827 delicious:1745823.959860476 flavors:1695319.0020071524 chocolate:1667101.1823659407 sugar:1613053.7480223696 tasted:1550874.607575297 snack:1485249.3079755132 tasty:1351257.0247906926 tasting:1276370.8179610632 sauce:897879.0933557408 drink:876615.8692008582 gluten:811062.5651458047 flavored:797849.9631582102 teas:751470.6312535974 coconut:750617.723849823 organic:735982.1131872097 milk:698915.2088764865 syrup:692281.6099730274 eat:670798.8777606796 grocery:664732.7233133191 flavorful:654618.8401163687 cup:634386.1742006215 calories:613782.8403880915 decaf:610475.2000142775 keurig:599825.3774876168 coffees:597360.9808078241 cereal:594169.7640640608 salty:578820.1247832038 candy:564689.1086151714 roast:525551.8697971501 cinnamon:504167.23988621647 spicy:488307.4071299543 crackers:482983.47354954295 salt:482401.79882320645 vanilla:477626.0392758465 cookies:463500.02741978964 chewy:455759.59287408344 aftertaste:450126.10996088013 butter:442557.42049060174 sweetener:431032.9224380114 crunchy:424279.2209305483 texture:408777.0550519624 yummy:396618.13639627525 peanut:396370.76673591527 candies:394971.8266591493 beans:381200.7231625932 seasoning:381175.7835510792 sweet:374800.6430033035 bitter:369537.0070075962 sodium:362394.7550990243 caffeine:355252.802738528 aroma:352317.9082292276 oatmeal:349221.99121343973 cups:341890.0223767885 honey:337898.84340719954 fruit:326312.40240345366 caramel:319932.2069633286 stevia:317181.29428997944 breakfast:316162.95619469864 almonds:311720.8228243086 fresh:304329.88506751787 flavoring:302727.54098399973 rice:298997.816246728 corn:297747.0079035138 chai:294898.6598350715 popcorn:290485.78688701673 pasta:288122.4764976348 starbucks:280711.76995860436 cheese:277582.14669764176 noodles:273031.24159871263 granola:271123.73405522254 healthy:262507.25007988955 licorice:262326.44608506176 hazelnut:258093.55640495106
